Country,Neighboring Country,City 1,City 2,Distance
Russia,Finland,Saint Petersburg,Kouvola,223.0448578798223
Russia,Georgia,Samara,Rustavi,1300.094829486636
Russia,Kazakhstan,Omsk,Pavlodar,378.3533333646366
Russia,Lithuania,Saint Petersburg,Utena,568.2518590117755
Russia,Latvia,Saint Petersburg,Valmiera,389.249116701106
Russia,Norway,Saint Petersburg,Sarpsborg,1078.7505531832005
Russia,Poland,Saint Petersburg,Gdansk,937.6941264376912
Russia,Ukraine,Moscow,Kharkiv,647.5367998500772
San Marino,Italy,San Marino,Florence,97.37351856760387
Serbia,Bosnia and Herzegovina,Novi Sad,Bijeljina,74.5926596867107
Serbia,Bulgaria,Nis,Sofia,135.39991755056968
Serbia,Croatia,Novi Sad,Osijek,95.69077038069109
Serbia,Hungary,Subotica,Szeged,40.722430334095044
Serbia,Kosovo,Novi Pazar,Vushtrri,51.81225280474246
Serbia,Montenegro,Novi Pazar,Rozaje,45.05323533985722
Serbia,North Macedonia,Belgrade,Skopje,500000
Serbia,Romania,Nis,Craiova,190.9194890497921
Slovakia,Austria,Bratislava,Vienna,55.1299170951827
Slovakia,Hungary,Bratislava,Gyor,64.35847490420706
Slovakia,Poland,Poprad,Krakow,114.4074112854773
Slovakia,Ukraine,Presov,Mykolaiv,207.10762255023369
Slovenia,Austria,Kranj,Klagenfurt,42.93756758164656
Slovenia,Croatia,Ptuj,Varazdin,38.01279314012571
Slovenia,Hungary,Maribor,Szombathely,105.73289634815907
Slovenia,Italy,Koper,Bologna,221.55075433309403
Spain,Andorra,Barcelona,Escaldes-Engordany,135.84869038345042
Spain,France,Barcelona,Toulouse,254.27420300472784
Spain,Portugal,Madrid,Coimbra,401.3009325957822
Sweden,Denmark,Malmo,Copenhagen,30.36184322918433
Sweden,Finland,Lulea,Oulu,166.67674075525318
Sweden,Norway,Gothenburg,Fredrikstad,176.74749539201775
Switzerland,Austria,Winterthur,Dornbirn,77.33294532268292
Switzerland,France,Geneva,Lyon,112.29165781878551
Switzerland,Germany,Winterthur,Stuttgart,146.06556064205336
Switzerland,Italy,Lugano,Milan,62.60871105327075
Switzerland,Liechtenstein,Winterthur,Gamprin,66.0371744289692
Turkey,Armenia,Gaziantep,Armavir,672.6397404163135
Turkey,Azerbaijan,Gaziantep,Sirvan,1052.910533025766
Turkey,Bulgaria,Istanbul,Burgas,206.38064407807298
Turkey,Greece,Izmir,Athens,302.0283871245586
Turkey,Georgia,Kayseri,Batumi,615.3742956446946
Ukraine,Belarus,Lviv,Brest,256.23011326332824
Ukraine,Hungary,Mykolaiv,Nyiregyhaza,240.40850323570587
Ukraine,Moldova,Odesa,Tiraspol,92.40278396662715
Ukraine,Poland,Lviv,Lublin,187.65393507354065
Ukraine,Romania,Mykolaiv,Cluj-Napoca,308.0756685818515
Ukraine,Russia,Kharkiv,Moscow,647.5367998500772
Ukraine,Slovakia,Mykolaiv,Presov,207.10762255023369
United Kingdom,Ireland,Liverpool,Dublin,216.8691786687002
Vatican City,Italy,Vatican City,Rome,2.7481263307202872
