City,Connection 1,Distance 1,Connection 2,Distance 2,Connection 3,Distance 3,Connection 4,Distance 4,Connection 5,Distance 5,Connection 6,Distance 6,Connection 7,Distance 7,Connection 8,Distance 8,Connection 9,Distance 9
Bruges,Gent,38.99791256648025,Aalst,64.40164212582702,Antwerp,81.92631493667896,Brussels,88.59059905522811,Lille,65.65354790226893,,,,,,,,
Namur,Charleroi,31.58025696388047,Leuven,47.78992876407344,Liege,53.32051164534577,Brussels,55.67121511230557,,,,,,,,,,
Leuven,Brussels,24.72499024084132,Antwerp,42.688550606877925,Aalst,46.731543791390344,Namur,47.78992876407344,,,,,,,,,,
Mons,Charleroi,34.68583365949987,Brussels,52.45110288379495,Aalst,54.65878839891923,Namur,64.92028159365901,,,,,,,,,,
Aalst,Brussels,24.220371007447905,Gent,25.435282831013748,Antwerp,40.02821998634072,Leuven,46.731543791390344,,,,,,,,,,
Sarajevo,Zenica,55.95939323526696,Mostar,75.02912190730996,Doboj,100.01722385326445,Brcko,117.91125441441761,,,,,,,,,,
Banja Luka,Prijedor,44.414399900193665,Doboj,74.41766226526323,Zenica,84.92976994880071,Brcko,128.04196491150324,,,,,,,,,,
Tuzla,Bijeljina,931.0312538054069,Trebinje,933.8743808660771,Sarajevo,955.7182584732795,Brcko,966.1980761987422,,,,,,,,,,
Zenica,Sarajevo,55.95939323526696,Doboj,61.85067548727388,Banja Luka,84.92976994880071,Mostar,95.72977541001843,,,,,,,,,,
Mostar,Sarajevo,75.02912190730996,Trebinje,82.02389811517769,Zenica,95.72977541001843,Doboj,156.7063449695761,,,,,,,,,,
Bijeljina,Brcko,35.16772857032036,Doboj,85.5868998150738,Sarajevo,118.16163800398876,Zenica,120.69006023981886,Novi Sad,74.5926596867107,,,,,,,,
Prijedor,Banja Luka,44.414399900193665,Doboj,115.93081964121154,Zenica,127.7713601991948,Brcko,166.3495050945011,,,,,,,,,,
Brcko,Bijeljina,35.16772857032036,Doboj,55.70766085982968,Zenica,103.96149312196972,Sarajevo,117.91125441441761,,,,,,,,,,
Trebinje,Mostar,82.02389811517769,Sarajevo,127.8104754336204,Zenica,169.38220066863093,Doboj,225.61139395925065,Herceg Novi,33.224896174884215,,,,,,,,
Doboj,Brcko,55.70766085982968,Zenica,61.85067548727388,Banja Luka,74.41766226526323,Bijeljina,85.5868998150738,Slavonski Brod,49.05764327468772,,,,,,,,
Sofia,Pleven,131.09051172952746,Plovdiv,131.62137219847267,Stara Zagora,192.28825619812645,Sliven,245.45309791799417,Nis,135.3999175505697,,,,,,,,
Plovdiv,Stara Zagora,80.45189278937325,Sofia,131.62137219847267,Pleven,140.26093174338735,Sliven,142.85970652683477,Thessaloniki,226.06256286465955,,,,,,,,
Varna,Dobrich,39.49735181405287,Shumen,79.98977610569209,Burgas,87.30631573695192,Sliven,141.86164628291573,,,,,,,,,,
Burgas,Varna,87.30631573695192,Sliven,95.19992831700132,Shumen,97.1655371101314,Dobrich,121.90379852850613,Istanbul,206.38064407807298,,,,,,,,
Ruse,Shumen,99.15620458422516,Pleven,116.86812802106833,Sliven,130.41096562513357,Dobrich,153.76095385403644,Bucharest,68.81163954693909,,,,,,,,
Stara Zagora,Sliven,62.489154349179806,Plovdiv,80.45189278937325,Pleven,137.00831483308886,Shumen,140.9746438987033,,,,,,,,,,
Pleven,Ruse,116.86812802106833,Sofia,131.09051172952746,Stara Zagora,137.00831483308886,Plovdiv,140.26093174338735,,,,,,,,,,
Sliven,Stara Zagora,62.489154349179806,Shumen,82.66306456789843,Burgas,95.19992831700132,Ruse,130.41096562513357,,,,,,,,,,
Dobrich,Varna,39.49735181405287,Shumen,79.21910998653443,Burgas,121.90379852850613,Ruse,153.76095385403644,,,,,,,,,,
Shumen,Dobrich,79.21910998653443,Varna,79.98977610569209,Sliven,82.66306456789843,Burgas,97.1655371101314,,,,,,,,,,
Zagreb,Sisak,47.692082672460735,Karlovac,50.086982855756105,Varazdin,61.104391949730974,Rijeka,131.802117549821,,,,,,,,,,
Split,Zadar,118.26799583932933,Sisak,219.91299182380337,Slavonski Brod,222.83336275346272,Karlovac,230.49187593549763,Herceg Novi,206.75627827031653,,,,,,,,
Rijeka,Pula,69.03512467897843,Karlovac,88.29245937841013,Zagreb,131.802117549821,Zadar,148.12043360585963,,,,,,,,,,
Osijek,Slavonski Brod,68.36291778640468,Sisak,180.76770415532917,Varazdin,200.5327005715811,Zagreb,212.57793365065592,Pecs,67.5280897214961,Novi Sad,95.69077038069109,,,,,,
Zadar,Split,118.26799583932933,Pula,138.06226764043646,Rijeka,148.12043360585963,Karlovac,153.72103415765937,,,,,,,,,,
